,cgpa,iq,placement
0,6.4,117.0,1
1,4.8,82.0,0
2,6.9,56.0,1
3,7.1,104.0,1
4,3.8,121.0,0
5,4.5,194.0,0
6,6.1,128.0,1
7,5.6,162.0,0
8,6.0,103.0,0
9,5.0,76.0,0
10,7.0,84.0,1
11,6.9,94.0,1
12,6.1,208.0,0
13,7.3,90.0,1
14,6.5,157.0,0
15,5.0,87.0,0
16,6.4,160.0,0
17,4.9,138.0,0
18,7.0,117.0,1
19,5.9,121.0,1
20,5.8,97.0,0
21,5.2,141.0,0
22,7.4,105.0,1
23,5.8,74.0,0
24,5.5,72.0,1
25,5.6,130.0,0
26,6.6,186.0,1
27,6.4,129.0,0
28,6.5,118.0,1
29,6.5,134.0,0
30,8.5,175.0,1
31,5.5,132.0,0
32,5.4,107.0,0
33,5.1,167.0,0
34,6.7,140.0,0
35,7.3,184.0,1
36,5.9,130.0,0
37,5.0,74.0,1
38,5.1,68.0,0
39,6.7,189.0,1
40,6.9,192.0,1
41,6.6,116.0,1
42,5.2,108.0,0
43,6.3,181.0,0
44,6.1,79.0,0
45,6.3,87.0,0
46,7.0,149.0,1
47,6.3,107.0,1
48,6.8,123.0,0
49,6.1,116.0,1
50,6.3,137.0,1
51,6.7,179.0,1
52,4.3,127.0,0
53,5.6,149.0,0
54,5.5,41.0,0
55,5.3,121.0,0
56,5.7,89.0,1
57,7.7,74.0,1
58,5.0,88.0,0
59,7.1,110.0,1
60,4.1,160.0,0
61,5.6,70.0,1
62,6.2,124.0,1
63,6.7,104.0,1
64,6.8,110.0,0
65,6.9,163.0,1
66,5.6,145.0,0
67,5.5,176.0,0
68,7.0,117.0,1
69,5.8,95.0,0
70,4.5,114.0,0
71,4.7,133.0,0
72,4.9,130.0,0
73,6.6,80.0,0
74,6.2,127.0,0
75,6.8,132.0,0
76,5.5,224.0,1
77,6.2,198.0,0
78,6.7,89.0,1
79,5.6,112.0,1
80,6.5,64.0,1
81,5.2,99.0,0
82,5.6,136.0,1
83,5.6,171.0,0
84,4.6,94.0,0
85,6.6,97.0,1
86,5.5,40.0,1
87,6.0,116.0,1
88,6.6,81.0,1
89,6.5,102.0,0
90,6.8,88.0,1
91,5.9,119.0,1
92,5.5,53.0,0
93,5.9,64.0,0
94,4.1,208.0,0
95,4.3,72.0,0
96,4.5,79.0,0
97,4.9,196.0,0
98,6.5,239.0,0
99,5.0,76.0,0
100,5.6,108.0,1
101,7.5,137.0,1
102,5.6,192.0,1
103,6.8,84.0,1
104,4.9,113.0,0
105,5.8,154.0,0
106,4.9,140.0,0
107,5.6,108.0,0
108,7.0,118.0,1
109,4.0,68.0,1
110,6.5,113.0,1
111,6.3,112.0,1
112,5.3,132.0,0
113,4.3,101.0,0
114,6.1,142.0,1
115,5.4,164.0,0
116,6.3,129.0,1
117,6.0,137.0,0
118,7.8,125.0,1
119,5.7,123.0,0
120,4.8,94.0,0
121,6.2,136.0,0
122,6.3,119.0,1
123,7.6,207.0,1
124,7.0,186.0,1
125,6.4,138.0,1
126,7.7,92.0,1
127,4.6,79.0,0
128,5.3,171.0,0
129,4.9,134.0,0
130,5.6,142.0,0
131,4.4,53.0,0
132,6.7,160.0,1
133,5.7,141.0,0
134,4.3,79.0,0
135,4.8,104.0,0
136,6.4,134.0,1
137,7.0,125.0,1
138,8.3,111.0,1
139,9.4,119.0,1
140,6.5,113.0,1
141,4.9,129.0,0
142,3.5,182.0,0
143,6.3,40.0,1
144,5.1,114.0,0
145,5.5,130.0,0
146,5.3,135.0,0
147,5.8,108.0,0
148,7.2,53.0,1
149,6.2,136.0,1
