Company,Rating,Reviews,Industry,Location,Type,HQ,Age,Employees,Highly_Rated,Critically_Rated,Page
TCS,,(1.2L),IT Services & Consulting,Bengaluru +477 other locations,,,,,Job Security,"Promotions, Salary, Work Satisfaction",1
Accenture,,(76.1k),IT Services & Consulting,Bengaluru +280 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
Wipro,,(67k),IT Services & Consulting,Hyderabad +391 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
Cognizant,,(63.3k),IT Services & Consulting,Hyderabad +254 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
Capgemini,,(55.5k),IT Services & Consulting,Bengaluru +204 other locations,,,,,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",1
HDFC Bank,,(54.7k),Banking,Mumbai +1900 other locations,,,,,Job Security,"Promotions, Salary",1
Infosys,,(50.4k),IT Services & Consulting,Bengaluru +257 other locations,,,,,Job Security,"Promotions, Salary, Work Satisfaction",1
HCLTech,,(48.3k),IT Services & Consulting,Bengaluru +248 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
ICICI Bank,,(47.1k),Banking,Mumbai +1473 other locations,,,,,"Job Security, Promotions, Skill Development",,1
Tech Mahindra,,(44.7k),IT Services & Consulting,Hyderabad +339 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
Genpact,,(44k),Analytics & KPO,Hyderabad +186 other locations,,,,,Job Security,"Promotions, Salary, Work Satisfaction",1
TP,,(40.2k),BPO,Mumbai +267 other locations,,,,,"Work Life Balance, Job Security, Skill Development",,1
Axis Bank,,(34.6k),Banking,Mumbai +1563 other locations,,,,,"Promotions, Work Satisfaction, Company Culture",,1
Jio,,(34.3k),Telecom,Mumbai +1980 other locations,,,,,"Job Security, Company Culture, Work Life Balance",,1
Concentrix Corporation,,(33.3k),BPO,Bengaluru +194 other locations,,,,,Job Security,"Promotions, Salary, Work Satisfaction",1
Amazon,,(32.8k),Internet,Bengaluru +553 other locations,,,,,"Company Culture, Work Life Balance, Salary",Promotions,1
Reliance Retail,,(28k),Retail,Mumbai +1183 other locations,,,,,"Job Security, Skill Development, Work Life Balance",Promotions,1
iEnergizer,,(27.8k),BPO,Noida +55 other locations,,,,,"Company Culture, Work Life Balance, Work Satisfaction",,1
LTM Limited,,(27.4k),IT Services & Consulting,Bengaluru +155 other locations,,,,,"Promotions, Salary, Work Satisfaction",,1
HDB Financial Services,,(26.6k),NBFC,Mumbai +1115 other locations,,,,,"Promotions, Salary",,1
IBM,,(26.6k),IT Services & Consulting,Bengaluru +172 other locations,,,,,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",2
Larsen & Toubro Limited,,(24.8k),Engineering & Construction,Mumbai +803 other locations,,,,,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",2
Deloitte,,(24.4k),Management Consulting,Hyderabad +208 other locations,,,,,"Promotions, Work Life Balance, Work Satisfaction",,2
Kotak Mahindra Bank,,(23.3k),Banking,Mumbai +706 other locations,,,,,"Promotions, Work Satisfaction, Company Culture",,2
Reliance Industries,,(20.9k),Oil & Gas,Jamnagar +837 other locations,,,,,"Job Security, Work Life Balance, Skill Development",Promotions,2
